,match_id,inning,bowling_team,avg_over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder,over-binned,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad
11,1,1,Royal Challengers Bangalore,0.47368421052631576,5,DA Warner,S Dhawan,A Choudhary,0,0,0,0,0,0,0,0,0,DA Warner,caught,Mandeep Singh,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,1,1,Royal Challengers Bangalore,0.0,3,S Dhawan,MC Henriques,STR Binny,0,0,0,0,0,0,0,0,0,S Dhawan,caught,Sachin Baby,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,1,1,Royal Challengers Bangalore,0.0,2,MC Henriques,Yuvraj Singh,YS Chahal,0,0,0,0,0,0,0,0,0,MC Henriques,caught,Sachin Baby,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,1,2,Sunrisers Hyderabad,0.05263157894736842,3,CH Gayle,TM Head,DJ Hooda,0,0,0,0,0,0,0,0,0,CH Gayle,caught,DA Warner,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
199,1,2,Sunrisers Hyderabad,0.0,4,KM Jadhav,TM Head,MC Henriques,0,0,0,0,0,0,1,0,1,KM Jadhav,run out,BCJ Cutting,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,1,2,Sunrisers Hyderabad,0.0,5,TM Head,SR Watson,Rashid Khan,0,0,0,0,0,0,0,0,0,TM Head,caught,Yuvraj Singh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,1,2,Sunrisers Hyderabad,0.0,4,Sachin Baby,SR Watson,Bipul Sharma,0,0,0,0,0,0,0,0,0,Sachin Baby,caught,MC Henriques,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,1,2,Sunrisers Hyderabad,0.0,5,STR Binny,SR Watson,B Kumar,0,0,0,0,0,0,0,0,0,STR Binny,caught,Yuvraj Singh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,1,2,Sunrisers Hyderabad,0.0,3,SR Watson,S Aravind,A Nehra,0,0,0,0,0,0,0,0,0,SR Watson,caught,MC Henriques,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,1,2,Sunrisers Hyderabad,0.0,5,TS Mills,YS Chahal,B Kumar,0,0,0,0,0,0,0,0,0,TS Mills,caught,DA Warner,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
247,1,2,Sunrisers Hyderabad,0.0,4,A Choudhary,YS Chahal,BCJ Cutting,0,0,0,0,0,0,0,0,0,YS Chahal,run out,CJ Jordan (sub),low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
330,2,1,Rising Pune Supergiant,0.0,2,KH Pandya,N Rana,R Bhatia,0,0,0,0,0,0,0,0,0,KH Pandya,caught,MS Dhoni,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
343,2,1,Rising Pune Supergiant,0.0,3,N Rana,KA Pollard,A Zampa,0,0,0,0,0,0,0,0,0,N Rana,caught,R Bhatia,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
361,2,1,Rising Pune Supergiant,0.0,2,KA Pollard,HH Pandya,BA Stokes,0,0,0,0,0,0,0,0,0,KA Pollard,caught,MA Agarwal,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
371,2,1,Rising Pune Supergiant,0.0,6,HH Pandya,TG Southee,AB Dinda,0,1,0,0,0,0,0,1,1,TG Southee,run out,MS Dhoni,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
392,2,2,Mumbai Indians,0.21052631578947367,1,MA Agarwal,AM Rahane,MJ McClenaghan,0,0,0,0,0,0,0,0,0,MA Agarwal,caught,RG Sharma,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
434,2,2,Mumbai Indians,0.0,1,AM Rahane,SPD Smith,TG Southee,0,0,0,0,0,0,0,0,0,AM Rahane,caught,N Rana,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
467,2,2,Mumbai Indians,0.0,2,BA Stokes,SPD Smith,HH Pandya,0,0,0,0,0,0,0,0,0,BA Stokes,caught,TG Southee,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
514,3,1,Kolkata Knight Riders,0.21052631578947367,1,JJ Roy,BB McCullum,PP Chawla,0,0,0,0,0,0,0,0,0,JJ Roy,caught,YK Pathan,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
557,3,1,Kolkata Knight Riders,0.0,2,AJ Finch,SK Raina,Kuldeep Yadav,0,0,0,0,0,0,0,0,0,AJ Finch,caught,Kuldeep Yadav,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
615,3,1,Kolkata Knight Riders,0.0,5,KD Karthik,SK Raina,TA Boult,0,0,0,0,0,0,0,0,0,KD Karthik,caught,Kuldeep Yadav,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
750,4,1,Kings XI Punjab,0.05263157894736842,2,AM Rahane,SPD Smith,T Natarajan,0,0,0,0,0,0,0,0,0,AM Rahane,caught,MP Stoinis,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
762,4,1,Kings XI Punjab,0.05263157894736842,2,SPD Smith,BA Stokes,MP Stoinis,0,0,0,0,0,0,0,0,0,SPD Smith,caught,M Vohra,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
836,4,1,Kings XI Punjab,0.0,5,DT Christian,MK Tiwary,Sandeep Sharma,0,0,0,0,0,0,0,0,0,DT Christian,caught,GJ Maxwell,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
856,4,2,Rising Pune Supergiant,0.2631578947368421,5,M Vohra,HM Amla,AB Dinda,0,0,0,0,0,0,0,0,0,M Vohra,caught,MK Tiwary,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
905,4,2,Rising Pune Supergiant,0.0,6,HM Amla,AR Patel,RD Chahar,0,0,0,0,0,0,0,0,0,HM Amla,caught,BA Stokes,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
980,5,1,Delhi Daredevils,0.21052631578947367,2,CH Gayle,SR Watson,CH Morris,0,0,0,0,0,0,0,0,0,CH Gayle,caught,SV Samson,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1013,5,1,Delhi Daredevils,0.05263157894736842,4,SR Watson,KM Jadhav,S Nadeem,0,0,0,0,0,0,0,0,0,SR Watson,stumped,RR Pant,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1053,5,1,Delhi Daredevils,0.0,7,STR Binny,KM Jadhav,Z Khan,0,0,0,0,0,0,0,0,0,STR Binny,caught,SW Billings,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1063,5,1,Delhi Daredevils,0.0,4,Vishnu Vinod,KM Jadhav,Z Khan,0,0,0,0,0,0,0,0,0,Vishnu Vinod,run out,S Nadeem,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1065,5,1,Delhi Daredevils,0.0,6,KM Jadhav,P Negi,Z Khan,0,0,0,0,0,0,0,0,0,KM Jadhav,caught,CH Morris,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1129,5,2,Royal Challengers Bangalore,0.05263157894736842,3,SW Billings,SV Samson,Iqbal Abdulla,0,0,0,0,0,0,0,0,0,SW Billings,caught,B Stanlake,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1151,5,2,Royal Challengers Bangalore,0.0,5,SV Samson,RR Pant,B Stanlake,0,0,0,0,0,0,0,0,0,SV Samson,caught,STR Binny,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1239,6,1,Sunrisers Hyderabad,0.10526315789473684,2,JJ Roy,SK Raina,B Kumar,0,0,0,0,0,0,0,0,0,JJ Roy,caught,S Dhawan,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307,6,1,Sunrisers Hyderabad,0.0,4,DR Smith,KD Karthik,B Kumar,0,0,0,0,0,0,0,0,0,DR Smith,caught,V Shankar (sub),low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1311,6,1,Sunrisers Hyderabad,0.0,2,KD Karthik,DS Kulkarni,A Nehra,0,0,0,0,0,0,0,0,0,KD Karthik,caught,NV Ojha,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1313,6,1,Sunrisers Hyderabad,0.0,4,DS Kulkarni,P Kumar,A Nehra,0,0,0,0,0,0,0,0,0,DS Kulkarni,run out,Rashid Khan,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1346,6,2,Gujarat Lions,0.21052631578947367,1,S Dhawan,DA Warner,P Kumar,0,0,0,0,0,0,0,0,0,S Dhawan,caught,BB McCullum,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1453,7,1,Mumbai Indians,0.15789473684210525,2,G Gambhir,CA Lynn,KH Pandya,0,0,0,0,0,0,0,0,0,G Gambhir,caught,MJ McClenaghan,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1456,7,1,Mumbai Indians,0.15789473684210525,5,RV Uthappa,CA Lynn,KH Pandya,0,0,0,0,0,0,0,0,0,RV Uthappa,caught,HH Pandya,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1499,7,1,Mumbai Indians,0.0,4,YK Pathan,MK Pandey,KH Pandya,0,0,0,0,0,0,0,0,0,YK Pathan,caught,HH Pandya,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1526,7,1,Mumbai Indians,0.0,1,SA Yadav,MK Pandey,SL Malinga,0,0,0,0,0,0,0,0,0,SA Yadav,caught,KA Pollard,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1538,7,1,Mumbai Indians,0.0,1,CR Woakes,MK Pandey,SL Malinga,0,0,0,0,0,0,0,0,0,CR Woakes,caught,KA Pollard,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1630,7,2,Kolkata Knight Riders,0.0,1,KH Pandya,N Rana,AS Rajpoot,0,0,0,0,0,0,0,0,0,KH Pandya,caught,RV Uthappa,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1654,7,2,Kolkata Knight Riders,0.0,1,KA Pollard,N Rana,CR Woakes,0,0,0,0,0,0,0,0,0,KA Pollard,caught,R Dhawan (sub),low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669,7,2,Kolkata Knight Riders,0.0,4,N Rana,HH Pandya,AS Rajpoot,0,0,0,0,0,0,0,0,0,N Rana,caught,SP Narine,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1698,8,1,Kings XI Punjab,0.21052631578947367,3,Vishnu Vinod,AB de Villiers,Sandeep Sharma,0,0,0,0,0,0,0,0,0,Vishnu Vinod,caught,GJ Maxwell,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1757,8,1,Kings XI Punjab,0.0,1,Mandeep Singh,AB de Villiers,VR Aaron,0,0,0,0,0,0,0,0,0,Mandeep Singh,caught,WP Saha,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1897,9,1,Rising Pune Supergiant,0.47368421052631576,1,AP Tare,SW Billings,DL Chahar,0,0,0,0,0,0,0,0,0,AP Tare,caught,MS Dhoni,medium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1985,9,1,Rising Pune Supergiant,0.0,2,RR Pant,SV Samson,BA Stokes,0,0,0,0,0,0,0,0,0,RR Pant,run out,MA Agarwal,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2034,9,2,Delhi Daredevils,0.2631578947368421,6,AM Rahane,MA Agarwal,Z Khan,0,0,0,0,0,0,0,0,0,AM Rahane,caught,SV Samson,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2045,9,2,Delhi Daredevils,0.15789473684210525,5,MA Agarwal,F du Plessis,Z Khan,0,0,0,0,0,0,0,0,0,MA Agarwal,caught,CH Morris,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2052,9,2,Delhi Daredevils,0.10526315789473684,6,RA Tripathi,F du Plessis,CH Morris,0,0,0,0,0,0,0,0,0,RA Tripathi,caught,S Nadeem,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2057,9,2,Delhi Daredevils,0.05263157894736842,4,F du Plessis,BA Stokes,S Nadeem,0,0,0,0,0,0,0,0,0,F du Plessis,caught,RR Pant,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2064,9,2,Delhi Daredevils,0.05263157894736842,5,BA Stokes,MS Dhoni,PJ Cummins,0,0,0,0,0,0,0,0,0,BA Stokes,caught,RR Pant,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2089,9,2,Delhi Daredevils,0.0,6,MS Dhoni,R Bhatia,A Mishra,0,0,0,0,0,0,0,0,0,MS Dhoni,caught,KK Nair,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2096,9,2,Delhi Daredevils,0.0,1,R Bhatia,DL Chahar,A Mishra,0,0,0,0,0,0,0,0,0,R Bhatia,caught,CH Morris,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2102,9,2,Delhi Daredevils,0.0,1,DL Chahar,A Zampa,Z Khan,0,0,0,0,0,0,0,0,0,DL Chahar,caught,RR Pant,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2111,9,2,Delhi Daredevils,0.0,3,A Zampa,AB Dinda,A Mishra,0,0,0,0,0,0,0,0,0,A Zampa,caught,SV Samson,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2115,9,2,Delhi Daredevils,0.0,1,AB Dinda,Imran Tahir,PJ Cummins,0,0,0,0,0,0,0,0,0,AB Dinda,caught,A Mishra,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2178,10,1,Mumbai Indians,0.0,2,DA Warner,S Dhawan,Harbhajan Singh,0,0,0,0,0,0,0,0,0,DA Warner,caught,PA Patel,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2197,10,1,Mumbai Indians,0.0,1,DJ Hooda,S Dhawan,Harbhajan Singh,0,0,0,0,0,0,0,0,0,DJ Hooda,caught,KA Pollard,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2230,10,1,Mumbai Indians,0.0,1,V Shankar,NV Ojha,SL Malinga,0,0,0,0,0,0,0,0,0,V Shankar,caught,N Rana,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2236,10,1,Mumbai Indians,0.0,1,NV Ojha,Rashid Khan,JJ Bumrah,0,0,0,0,0,0,0,0,0,NV Ojha,caught,KA Pollard,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2299,10,2,Sunrisers Hyderabad,0.05263157894736842,4,PA Patel,N Rana,DJ Hooda,0,0,0,0,0,0,0,0,0,PA Patel,caught,B Kumar,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2324,10,2,Sunrisers Hyderabad,0.0,4,KA Pollard,N Rana,B Kumar,0,0,0,0,0,0,0,0,0,KA Pollard,caught,S Dhawan,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2345,10,2,Sunrisers Hyderabad,0.0,1,KH Pandya,N Rana,B Kumar,0,0,0,0,0,0,0,0,0,KH Pandya,caught,BCJ Cutting,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2430,11,1,Kolkata Knight Riders,0.0,4,HM Amla,GJ Maxwell,C de Grandhomme,0,0,0,0,0,0,0,0,0,HM Amla,caught,G Gambhir,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2433,11,1,Kolkata Knight Riders,0.0,1,GJ Maxwell,DA Miller,UT Yadav,0,0,0,0,0,0,0,0,0,GJ Maxwell,caught,RV Uthappa,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2468,11,1,Kolkata Knight Riders,0.0,3,DA Miller,WP Saha,UT Yadav,0,0,0,0,0,0,0,0,0,DA Miller,caught,MK Pandey,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2469,11,1,Kolkata Knight Riders,0.0,4,WP Saha,AR Patel,UT Yadav,0,0,0,0,0,0,0,0,0,WP Saha,caught,CR Woakes,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2471,11,1,Kolkata Knight Riders,0.0,6,AR Patel,MM Sharma,UT Yadav,0,0,0,0,0,0,0,0,0,AR Patel,caught,SP Narine,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2482,11,1,Kolkata Knight Riders,0.0,5,MM Sharma,VR Aaron,CR Woakes,0,0,0,0,0,0,0,0,0,MM Sharma,caught,SA Yadav,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2484,11,1,Kolkata Knight Riders,0.0,7,VR Aaron,Sandeep Sharma,CR Woakes,0,0,0,0,0,0,0,0,0,VR Aaron,caught,G Gambhir,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2521,11,2,Kings XI Punjab,0.10526315789473684,4,SP Narine,G Gambhir,VR Aaron,0,0,0,0,0,0,0,0,0,SP Narine,caught,AR Patel,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2646,12,1,Mumbai Indians,0.05263157894736842,2,CH Gayle,V Kohli,HH Pandya,0,0,0,0,0,0,0,0,0,CH Gayle,caught,PA Patel,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2683,12,1,Mumbai Indians,0.0,3,V Kohli,AB de Villiers,MJ McClenaghan,0,0,0,0,0,0,0,0,0,V Kohli,caught,JC Buttler,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2689,12,1,Mumbai Indians,0.0,2,AB de Villiers,KM Jadhav,KH Pandya,0,0,0,0,0,0,0,0,0,AB de Villiers,caught,RG Sharma,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2700,12,1,Mumbai Indians,0.0,7,P Negi,KM Jadhav,JJ Bumrah,0,0,0,0,0,0,0,0,0,KM Jadhav,run out,JJ Bumrah,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2724,12,2,Royal Challengers Bangalore,0.47368421052631576,5,JC Buttler,PA Patel,STR Binny,0,0,0,0,0,0,0,0,0,JC Buttler,caught,CH Gayle,medium,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2727,12,2,Royal Challengers Bangalore,0.2631578947368421,2,PA Patel,RG Sharma,S Badree,0,0,0,0,0,0,0,0,0,PA Patel,caught,CH Gayle,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2728,12,2,Royal Challengers Bangalore,0.2631578947368421,3,MJ McClenaghan,RG Sharma,S Badree,0,0,0,0,0,0,0,0,0,MJ McClenaghan,caught,Mandeep Singh,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2761,12,2,Royal Challengers Bangalore,0.05263157894736842,6,N Rana,KA Pollard,S Badree,0,0,0,0,0,0,0,0,0,N Rana,caught,S Aravind,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2822,12,2,Royal Challengers Bangalore,0.0,3,KA Pollard,KH Pandya,YS Chahal,0,0,0,0,0,0,0,0,0,KA Pollard,caught,AB de Villiers,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2834,13,1,Gujarat Lions,1.0,3,AM Rahane,RA Tripathi,P Kumar,0,0,0,0,0,0,0,0,0,AM Rahane,caught,SK Raina,high,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2868,13,1,Gujarat Lions,0.10526315789473684,5,RA Tripathi,SPD Smith,AJ Tye,0,0,0,0,0,0,0,0,0,RA Tripathi,caught,AJ Finch,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2889,13,1,Gujarat Lions,0.05263157894736842,2,SPD Smith,BA Stokes,DR Smith,0,0,0,0,0,0,0,0,0,SPD Smith,caught,AJ Finch,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2950,13,1,Gujarat Lions,0.0,1,Ankit Sharma,MK Tiwary,AJ Tye,0,0,0,0,0,0,0,0,0,Ankit Sharma,caught,BB McCullum,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2951,13,1,Gujarat Lions,0.0,2,MK Tiwary,SN Thakur,AJ Tye,0,0,0,0,0,0,0,0,0,MK Tiwary,caught,Ishan Kishan,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3010,13,2,Rising Pune Supergiant,0.05263157894736842,6,DR Smith,BB McCullum,SN Thakur,0,0,0,0,0,0,0,0,0,DR Smith,caught,RD Chahar,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3024,13,2,Rising Pune Supergiant,0.0,1,BB McCullum,SK Raina,RD Chahar,0,0,0,0,0,0,0,0,0,BB McCullum,stumped,MS Dhoni,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3156,14,1,Sunrisers Hyderabad,0.0,2,RV Uthappa,MK Pandey,BCJ Cutting,0,0,0,0,0,0,0,0,0,RV Uthappa,caught,Rashid Khan,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3177,14,1,Sunrisers Hyderabad,0.0,4,MK Pandey,YK Pathan,B Kumar,0,0,0,0,0,0,0,0,0,MK Pandey,caught,DA Warner,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3186,14,1,Sunrisers Hyderabad,0.0,7,SA Yadav,YK Pathan,A Nehra,0,0,0,0,0,0,0,0,0,SA Yadav,caught,NV Ojha,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3234,14,2,Kolkata Knight Riders,0.05263157894736842,4,S Dhawan,DA Warner,YK Pathan,0,0,0,0,0,0,0,0,0,S Dhawan,caught,C de Grandhomme,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3253,14,2,Kolkata Knight Riders,0.05263157894736842,5,DA Warner,MC Henriques,Kuldeep Yadav,0,0,0,0,0,0,0,0,0,DA Warner,caught,CR Woakes,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3274,14,2,Kolkata Knight Riders,0.0,2,DJ Hooda,Yuvraj Singh,SP Narine,0,0,0,0,0,0,0,0,0,DJ Hooda,stumped,RV Uthappa,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3285,14,2,Kolkata Knight Riders,0.0,7,Yuvraj Singh,BCJ Cutting,CR Woakes,0,0,0,0,0,0,0,0,0,Yuvraj Singh,caught,R Dhawan (sub),low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3300,14,2,Kolkata Knight Riders,0.0,1,BCJ Cutting,NV Ojha,TA Boult,0,0,0,0,0,0,0,0,0,BCJ Cutting,caught,C de Grandhomme,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3359,15,1,Kings XI Punjab,0.05263157894736842,6,SV Samson,SW Billings,KC Cariappa,0,0,0,0,0,0,0,0,0,SV Samson,caught,EJG Morgan,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3363,15,1,Kings XI Punjab,0.05263157894736842,3,KK Nair,SW Billings,VR Aaron,0,0,0,0,0,0,0,0,0,KK Nair,caught,WP Saha,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3392,15,1,Kings XI Punjab,0.0,5,SS Iyer,SW Billings,MM Sharma,0,0,0,0,0,0,0,0,0,SS Iyer,caught,EJG Morgan,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3398,15,1,Kings XI Punjab,0.0,5,SW Billings,RR Pant,AR Patel,0,0,0,0,0,0,0,0,0,SW Billings,caught,DA Miller,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3412,15,1,Kings XI Punjab,0.0,1,RR Pant,CJ Anderson,VR Aaron,0,0,0,0,0,0,0,0,0,RR Pant,caught,EJG Morgan,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3431,15,1,Kings XI Punjab,0.0,5,CH Morris,CJ Anderson,Sandeep Sharma,0,0,0,0,0,0,0,0,0,CH Morris,caught,MM Sharma,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3464,15,2,Delhi Daredevils,0.21052631578947367,2,WP Saha,HM Amla,S Nadeem,0,0,0,0,0,0,0,0,0,WP Saha,caught,Z Khan,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3472,15,2,Delhi Daredevils,0.15789473684210525,4,HM Amla,EJG Morgan,CH Morris,0,0,0,0,0,0,0,0,0,HM Amla,caught,SW Billings,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3505,15,2,Delhi Daredevils,0.05263157894736842,6,EJG Morgan,DA Miller,PJ Cummins,0,0,0,0,0,0,0,0,0,EJG Morgan,caught,KK Nair,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3508,15,2,Delhi Daredevils,0.0,3,GJ Maxwell,DA Miller,A Mishra,0,0,0,0,0,0,0,0,0,GJ Maxwell,caught,SW Billings,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3568,16,1,Mumbai Indians,1.0,3,DR Smith,BB McCullum,MJ McClenaghan,0,0,0,0,0,0,0,0,0,DR Smith,caught,N Rana,high,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3634,16,1,Mumbai Indians,0.0,1,SK Raina,BB McCullum,Harbhajan Singh,0,0,0,0,0,0,0,0,0,SK Raina,caught,RG Sharma,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3676,16,1,Mumbai Indians,0.0,4,Ishan Kishan,KD Karthik,MJ McClenaghan,0,0,0,0,0,0,0,0,0,Ishan Kishan,caught,KH Pandya,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3693,16,2,Gujarat Lions,1.0,2,PA Patel,JC Buttler,P Kumar,0,0,0,0,0,0,0,0,0,PA Patel,caught,JJ Roy,high,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3753,16,2,Gujarat Lions,0.05263157894736842,2,N Rana,JC Buttler,AJ Tye,0,0,0,0,0,0,0,0,0,N Rana,caught,KD Karthik,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3764,16,2,Gujarat Lions,0.0,1,JC Buttler,RG Sharma,MM Patel,0,0,0,0,0,0,0,0,0,JC Buttler,caught,BB McCullum,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3807,16,2,Gujarat Lions,0.0,1,KA Pollard,RG Sharma,AJ Tye,0,0,0,0,0,0,0,0,0,KA Pollard,caught,RA Jadeja,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3868,17,1,Royal Challengers Bangalore,0.05263157894736842,2,RA Tripathi,SPD Smith,P Negi,0,0,0,0,0,0,0,0,0,RA Tripathi,caught,V Kohli,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3922,17,1,Royal Challengers Bangalore,0.0,5,DT Christian,BA Stokes,S Aravind,0,0,0,0,0,0,0,0,0,DT Christian,caught,Mandeep Singh,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3925,17,1,Royal Challengers Bangalore,0.0,2,SN Thakur,MK Tiwary,AF Milne,0,0,0,0,0,0,0,0,0,SN Thakur,caught,AB de Villiers,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3942,17,1,Royal Challengers Bangalore,0.0,6,MK Tiwary,JD Unadkat,AF Milne,0,0,0,0,0,0,1,0,1,MK Tiwary,run out,V Kohli,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
